name,Michelin stars,year,latitude,longitude,city,region,zipCode,cuisine,price,url
Hakkasan Mayfair,1,2019,51.51037,-0.14475,Mayfair,United Kingdom,W1J 6QB,Chinese,N/A,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/hakkasan-mayfair
Hambleton Hall,1,2019,52.65737,-0.66812,Upper Hambleton,United Kingdom,LE15 8TH,Classic cuisine,N/A,https://guide.michelin.com/gb/en/rutland/upper-hambleton/restaurant/hambleton-hall
Hana re,1,2019,33.67759,-117.886566,Costa Mesa,California,92626,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re
Hand and Flowers,2,2019,51.57031,-0.78113,Marlow,United Kingdom,SL7 2BP,Modern British,N/A,https://guide.michelin.com/gb/en/buckinghamshire/marlow/restaurant/hand-and-flowers
Hansikgonggan,1,2019,37.577705,126.98852,Seoul,South Korea,N/A,Korean,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/hansikgonggan
Harbor House,1,2019,39.135876,-123.719444,San Francisco,California,N/A,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house
Harwood Arms,1,2019,51.48291,-0.19651,Fulham,United Kingdom,SW6 1QP,Modern British,N/A,https://guide.michelin.com/gb/en/greater-london/fulham/restaurant/harwood-arms
Hashiri,1,2019,37.783062,-122.40754,San Francisco,California,94103,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri
Hayato,1,2019,34.03311,-118.24265,Los Angeles,California,90001,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato
Hélène Darroze at The Connaught,2,2019,51.5101,-0.1495701,Mayfair,United Kingdom,W1K 2AL,Modern cuisine,N/A,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/helene-darroze-at-the-connaught
Henne Kirkeby Kro,2,2019,55.72682,8.242021,Henne,Denmark,6854,Classic cuisine,$$$,https://guide.michelin.com/dk/en/southern-denmark/henne/restaurant/henne-kirkeby-kro
Heron & Grey,1,2019,53.30143,-6.177574,Blackrock,Ireland,N/A,Modern cuisine,N/A,https://guide.michelin.com/ie/en/dun-laoghaire-rathdown/blackrock/restaurant/heron-grey
Hide,1,2019,51.506077,-0.144289,Mayfair,United Kingdom,W1J 7NB,Modern British,N/A,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/hide
Hill Street Tai Hwa Pork Noodle,1,2018,1.3052,103.8624,Singapore,Singapore,N/A,Street Food,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/hill-street-tai-hwa-pork-noodle
Hinds Head,1,2019,51.51265,-0.69641,Bray,United Kingdom,SL6 2AB,Traditional British,N/A,https://guide.michelin.com/gb/en/buckinghamshire/bray/restaurant/hinds-head
Hirohisa,1,2019,40.72452,-74.003006,New York,New York City,10012,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/hirohisa
Ho Hung Kee,1,2019,22.280058,114.18364,Hong Kong,Hong Kong,N/A,Noodles and congee,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ho-hung-kee
House,1,2019,51.94777,-7.7135396,Aird Mhór/Ardmore,Ireland,N/A,Modern cuisine,N/A,https://guide.michelin.com/ie/en/waterford/aird-mhor-ardmore/restaurant/house
House of Tides,1,2019,54.96758,-1.61127,Newcastle upon Tyne,United Kingdom,NE1 3RF,Modern cuisine,N/A,https://guide.michelin.com/gb/en/tyne-and-wear/newcastle-upon-tyne/restaurant/house-of-tides
HRiSHi,1,2019,54.35013,-2.91172,Bowness-on-Windermere,United Kingdom,LA23 3NE,Modern cuisine,N/A,https://guide.michelin.com/gb/en/cumbria/bowness-on-windermere/restaurant/hrishi
Huto,1,2019,-23.60882,-46.6598,São Paulo - 04080,Sao Paulo,4,Japanese,$$$$$,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/huto
Hytra,1,2019,37.95818,23.71895,Athína,Greece,11745,Modern cuisine,$$$$$,https://guide.michelin.com/gr/en/attica/athina/restaurant/hytra
Ichigo Ichie,1,2019,51.898167,-8.479933,Corcaigh/Cork,Ireland,N/A,Japanese,N/A,https://guide.michelin.com/ie/en/cork/corcaigh-cork/restaurant/ichigo-ichie
Ichimura at Uchū,2,2019,40.721832,-73.99012,New York,New York City,10002,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ichimura-at-uchu
Iggy's,1,2018,1.305986,103.8294,Singapore,Singapore,N/A,European contemporary,$$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/iggy-s
Ikarus,2,2019,47.79536,13.00695,Salzburg,Austria,5020,Creative,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/ikarus
Ikoyi,1,2019,51.509212,-0.1334389,Saint James's,United Kingdom,SW1Y 4AH,Creative,N/A,https://guide.michelin.com/gb/en/greater-london/saint-james-s/restaurant/ikoyi
IM Teppanyaki & Wine,1,2019,22.280807,114.19211,Hong Kong,Hong Kong,N/A,Teppanyaki,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/im-teppanyaki-wine
Imperial Treasure Fine Chinese Cuisine,1,2019,22.296177,114.170006,Hong Kong,Hong Kong,N/A,Cantonese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/imperial-treasure-fine-chinese-cuisine
Imperial Treasure Fine Teochew Cuisine (Orchard),1,2018,1.3032448,103.8349,Singapore,Singapore,N/A,Chinese,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/imperial-treasure-fine-teochew-cuisine-orchard
Impromptu by Paul Lee,1,2019,25.05429,121.524254,Taipei,Taipei,110,Innovative,$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/impromptu-by-paul-lee
In Situ,1,2019,37.785633,-122.40113,San Francisco,California,94103,International,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ
J'AIME by Jean-Michel Lorain,1,2019,13.718885,100.546326,Bangkok,Thailand,N/A,French contemporary,$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/j-aime-by-jean-michel-lorain
Jaan,1,2018,1.293184,103.8529,Singapore,Singapore,N/A,French contemporary,$$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/jaan
Jade Dragon,3,2019,22.149137,113.56715,Macau,Macau,N/A,Cantonese,$$,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/jade-dragon
James Sommerin,1,2019,51.434387,-3.167951,Penarth,United Kingdom,CF64 3AU,Modern cuisine,N/A,https://guide.michelin.com/gb/en/the-vale-of-glamorgan/penarth/restaurant/james-sommerin
Jardin de Jade (Wan Chai),1,2019,22.28025,114.17716,Hong Kong,Hong Kong,N/A,Shanghainese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/jardin-de-jade-wan-chai
Jay Fai,1,2019,13.752614,100.50466,Bangkok,Thailand,N/A,Street Food,$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/jay-fai
Jean-Georges,2,2019,40.76907,-73.98155,New York,New York City,10023,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jean-georges
Jeju Noodle Bar,1,2019,40.732952,-74.00744,New York,New York City,10014,Korean,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jeju-noodle-bar
Jewel Bako,1,2019,40.72713,-73.98928,New York,New York City,10003,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jewel-bako
Jiang-Nan Chun,1,2018,1.304937,103.8288,Singapore,Singapore,N/A,Cantonese,$$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/jiang-nan-chun
Jin Jin,1,2019,37.55777,126.91324,Seoul,South Korea,N/A,Chinese,$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/jin-jin
John's House,1,2019,52.73295,-1.145851,Mountsorrel,United Kingdom,LE12 7AR,Modern cuisine,N/A,https://guide.michelin.com/gb/en/leicestershire/mountsorrel/restaurant/john-s-house
Joo Ok,1,2019,37.52252,127.04396,Seoul,South Korea,N/A,Korean contemporary,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/joo-ok
Jordnær,1,2019,55.748226,12.541014,København,Denmark,2820,Danish,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/jordnaer
jū-ni,1,2019,37.77672,-122.43886,San Francisco,California,94117,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni
Jun Sakamoto,1,2019,-23.56318,-46.67737,São Paulo - 05413,Sao Paulo,0,Japanese,$$$$$,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/jun-sakamoto
Jungsik,2,2019,40.718685,-74.00911,New York,New York City,10013,Korean,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jungsik
Jungsik,2,2019,37.525585,127.04107,Seoul,South Korea,N/A,Korean contemporary,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/jungsik511965
Junoon,1,2019,40.74325,-73.99077,New York,New York City,10010,Indian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/junoon
Kadeau Bornholm,1,2019,55.00457,14.969216,Pedersker,Denmark,3720,Creative,$$$$,https://guide.michelin.com/dk/en/capital-region/pedersker/restaurant/kadeau-bornholm
Kadeau Copenhagen,2,2019,55.67219,12.58848,København,Denmark,1408 K,Modern cuisine,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kadeau-copenhagen
Kai,1,2019,51.50871,-0.15162,Mayfair,United Kingdom,W1K 2QU,Chinese,N/A,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/kai123638
Kaiseki Den by Saotome,1,2019,22.285713,114.147865,Hong Kong,Hong Kong,N/A,Japanese,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kaiseki-den-by-saotome
Kajitsu,1,2019,40.72776,-73.98428,New York,New York City,10016,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kajitsu
Kali,1,2019,34.083443,-118.32455,Los Angeles,California,90028,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali
Kam's Roast Goose,1,2019,22.277693,114.175385,Hong Kong,Hong Kong,N/A,Cantonese Roast Meats,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kam-s-roast-goose
Kan Suke,1,2019,-23.5684,-46.64936,São Paulo - 01401,Sao Paulo,0,Japanese,$$$$$,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/kan-suke
Kanoyama,1,2019,40.73071,-73.98655,New York,New York City,10003,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kanoyama
Kashiwaya,2,2019,22.280643,114.15674,Hong Kong,Hong Kong,N/A,Japanese,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kashiwaya
Kato,1,2019,34.041683,-118.460915,Los Angeles,California,90025,Asian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato
Keiko à Nob Hill,1,2019,37.793106,-122.41445,San Francisco,California,94109,Fusion,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill
Ken An Ho,1,2019,25.034622,121.55281,Taipei,Taipei,110,Japanese,$$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/ken-an-ho
Kenzo,1,2019,38.29924,-122.28928,San Francisco,California,94559,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo
Kiin Kiin,1,2019,55.69188,12.55754,København,Denmark,2200 N,Thai,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kiin-kiin
Kilian Stuba,1,2019,47.34858,10.17114,Kleinwalsertal,Austria,87568,Creative,$$$$$,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba
Kin Khao,1,2019,37.785267,-122.40951,San Francisco,California,94102,Thai,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao
King,1,2019,22.190178,113.54028,Macau,Macau,N/A,Cantonese,$,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/king380226
Kinjo,1,2019,37.79699,-122.422005,San Francisco,California,94109,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo
Kinoshita,1,2019,-23.59159,-46.67146,São Paulo - 04509,Sao Paulo,1,Japanese,$$$$$,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/kinoshita
Kinship,1,2019,38.903282,-77.0218,"Washington, D.C.",Washington DC,20001,Contemporary,$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/kinship
Kitchen Table at Bubbledogs,2,2019,51.52041,-0.13647,Bloomsbury,United Kingdom,W1T 4QG,Modern cuisine,N/A,https://guide.michelin.com/gb/en/greater-london/bloomsbury/restaurant/kitchen-table-at-bubbledogs
Kitchen W8,1,2019,51.49918,-0.19692,Kensington,United Kingdom,W8 6AH,Modern cuisine,N/A,https://guide.michelin.com/gb/en/greater-london/kensington/restaurant/kitchen-w8
Kitchin,1,2019,55.976967,-3.172842,Leith,United Kingdom,EH6 6LX,Modern cuisine,N/A,https://guide.michelin.com/gb/en/city-of-edinburgh/leith/restaurant/kitchin
Kitcho,1,2019,25.04429,121.55076,Taipei,Taipei,110,Sushi,$$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/kitcho
Ko,2,2019,40.72909,-73.98448,New York,New York City,10003,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ko
Kojima,2,2019,37.52559,127.04193,Seoul,South Korea,N/A,Sushi,$$$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/kojima
Koka,1,2019,57.698406,11.965365,Göteborg,Sweden,411 25,Modern cuisine,$$$,https://guide.michelin.com/se/en/vastra-gotaland/goteborg/restaurant/koka
Kokkeriet,1,2019,55.68768,12.58492,København,Denmark,1306 K,Modern cuisine,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kokkeriet
KOKS,2,2019,62.13667,-7.022025,Leynar,Denmark,335,Creative,$$$$,https://guide.michelin.com/dk/en/faroe-islands/leynar/restaurant/koks558780
Komi,1,2019,38.910107,-77.03836,"Washington, D.C.",Washington DC,20036,Mediterranean,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/komi
Kong Hans Kælder,1,2019,55.6787,12.584003,København,Denmark,1070 K,Classic French,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kong-hans-kaelder
Konstantin Filippou,2,2019,48.21056,16.37996,Wien,Austria,1010,Modern cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/konstantin-filippou
Kontrast,1,2019,59.92355,10.75106,Oslo,Norway,178,Scandinavian,$$$,https://guide.michelin.com/no/en/oslo-region/oslo/restaurant/kontrast
Kosaka,1,2019,40.738316,-74.00137,New York,New York City,10011,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kosaka
Kosushi,1,2019,-23.58522,-46.6809,São Paulo - 04538,Sao Paulo,110,Japanese,$$$,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/kosushi
Kwonsooksoo,2,2019,37.526752,127.03571,Seoul,South Korea,N/A,Korean,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/kwonsooksoo
Kyo Ya,1,2019,40.7266,-73.98526,New York,New York City,10009,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kyo-ya
L'Amitié,1,2019,37.522675,127.032646,Seoul,South Korea,N/A,French,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/l-amitie
L'Appart,1,2019,40.711903,-74.01544,New York,New York City,10281,French,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-appart
L'Atelier de Joël Robuchon,1,2019,25.039188,121.56771,Taipei,Taipei,110,French contemporary,$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/l-atelier-de-joel-robuchon550759
L'Atelier de Joël Robuchon,2,2019,40.742905,-74.00769,New York,New York City,N/A,French,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-atelier-de-joel-robuchon562505
L'Atelier de Joël Robuchon,3,2019,22.281199,114.15816,Hong Kong,Hong Kong,N/A,French contemporary,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/l-atelier-de-joel-robuchon
L'Ecrivain,1,2019,53.33627,-6.24834,City Centre,Ireland,D2,Modern cuisine,N/A,https://guide.michelin.com/ie/en/dublin/city-centre/restaurant/l-ecrivain
L'Enclume,2,2019,54.201885,-2.953807,Cartmel,United Kingdom,LA11 6PZ,Creative,N/A,https://guide.michelin.com/gb/en/cumbria/cartmel/restaurant/l-enclume
L'Ortolan,1,2019,51.40833,-0.9542898,Shinfield,United Kingdom,RG2 9BY,French,N/A,https://guide.michelin.com/gb/en/wokingham/shinfield/restaurant/l-ortolan
La Dame de Pic,1,2019,51.510372,-0.0788981,City of London,United Kingdom,EC3N 4AJ,Modern French,N/A,https://guide.michelin.com/gb/en/greater-london/city-of-london/restaurant/la-dame-de-pic
La Degustation Bohême Bourgeoise,1,2019,50.09115,14.42511,Praha,Czech Republic,110 00,Modern cuisine,$$$$$,https://guide.michelin.com/cz/en/prague/praha/restaurant/la-degustation-boheme-bourgeoise
La Toque,1,2019,38.30351,-122.28349,San Francisco,California,94573,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque
La Trompette,1,2019,51.49222,-0.25619,Chiswick,United Kingdom,W4 2EU,Modern British,N/A,https://guide.michelin.com/gb/en/greater-london/chiswick/restaurant/la-trompette
La Yeon,3,2019,37.555813,127.00517,Seoul,South Korea,N/A,Korean,$$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/la-yeon
Labyrinth,1,2018,1.2899688,103.8562,Singapore,Singapore,N/A,Innovative,$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/labyrinth
Lady Helen,1,2019,52.526096,-7.188277,Baile Mhic Andáin/Thomastown,Ireland,N/A,Modern cuisine,N/A,https://guide.michelin.com/ie/en/kilkenny/baile-mhic-andain-thomastown/restaurant/lady-helen
Lai Heen,1,2019,22.148754,113.551926,Macau,Macau,N/A,Cantonese,$$,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/lai-heen
Lasai,1,2019,-22.95401,-43.19557,Rio de Janeiro - 22271,Rio de Janeiro,20,modern,$$$$$,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/lasai
Lazy Bear,2,2019,37.760204,-122.41969,San Francisco,California,94110,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lazy-bear
Le Bernardin,3,2019,40.76177,-73.98223,New York,New York City,10019,Seafood,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-bernardin
Le Champignon Sauvage,1,2019,51.89146,-2.07912,Cheltenham,United Kingdom,GL50 2AQ,Modern cuisine,N/A,https://guide.michelin.com/gb/en/gloucestershire/cheltenham/restaurant/le-champignon-sauvage
Le Ciel by Toni Mörwald,1,2019,48.20209,16.37156,Wien,Austria,1010,Classic cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald
Le Comptoir,1,2019,34.06354,-118.30057,Los Angeles,California,90020,Californian,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir
Le Coucou,1,2019,40.719162,-74.00001,New York,New York City,10013,French,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-coucou
Le Du,1,2019,13.725005,100.52939,Bangkok,Thailand,N/A,Thai,$$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/le-du
Le Gavroche,2,2019,51.51127,-0.15517,Mayfair,United Kingdom,W1K 7QR,French,N/A,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/le-gavroche
Le Grill de Joël Robuchon,1,2019,40.742897,-74.0077,New York,New York City,N/A,French,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-grill-de-joel-robuchon
Le Normandie,2,2019,13.723197,100.513855,Bangkok,Thailand,N/A,French contemporary,$$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/le-normandie
Le Palais,3,2019,25.049496,121.51674,Taipei,Taipei,110,Cantonese,$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/le-palais
